lat,lon,radiance,bortle
33.02,130.17,0.8877,3
33.02,130.18,2.3747,4
33.02,130.19,0.7013,3
33.02,130.4,0.9156,3
33.02,130.41,1.7627,4
33.02,130.42,10.8486,7
33.02,130.43,15.3195,7
33.02,130.44,13.6158,7
33.02,130.45,10.1859,7
33.02,130.46,13.3581,7
33.02,130.47,4.8848,5
33.02,130.48,2.8713,5
33.02,130.49,1.9792,4
33.02,130.5,1.5442,4
33.02,130.55,0.8771,3
33.02,130.56,1.3825,4
33.02,130.58,1.6764,4
33.02,130.59,4.8596,5
33.02,130.6,1.5978,4
33.02,130.61,0.87,3
33.02,130.66,0.6784,3
33.02,130.67,1.2589,4
33.02,130.68,3.3311,5
33.02,130.69,6.5877,6
33.02,130.7,4.2475,5
33.02,130.71,2.3482,4
33.02,130.72,1.7819,4
33.02,130.73,1.0847,4
33.02,130.74,0.8213,3
33.02,130.75,0.7862,3
33.02,130.76,0.791,3
33.02,130.77,0.7845,3
33.02,130.9,0.455,2
33.02,130.91,0.476,2
33.03,126.11,15.3617,7
33.03,126.16,11.2502,7
33.03,126.17,8.3862,6
33.03,126.18,15.723,7
33.03,126.19,5.3885,6
33.03,126.2,4.8741,5
33.03,126.21,13.043,7
33.03,126.22,4.7732,5
33.03,126.23,10.5298,7
33.03,126.24,8.4978,6
33.03,126.25,6.3076,6
33.03,126.28,7.7672,6
33.03,126.34,3.0079,5
33.03,126.35,5.6695,6
33.03,126.39,1.4816,4
33.03,126.4,10.1726,7
33.03,126.42,1.2193,4
33.03,126.43,1.2982,4
33.03,126.44,1.4698,4
33.03,126.45,6.1501,6
33.03,126.48,1.216,4
33.03,129.02,0.9829,3
33.03,129.07,0.5155,3
33.03,129.08,0.4754,2
33.03,129.09,0.5924,3
33.03,129.57,0.9215,3
33.03,129.58,0.9527,3
33.03,129.59,0.9064,3
33.03,129.61,0.7989,3
33.03,129.62,1.0867,4
33.03,129.63,1.1902,4
33.03,129.64,0.7781,3
33.03,129.65,0.7458,3
33.03,129.66,1.0037,4
33.03,129.67,0.6712,3
33.03,129.68,0.6599,3
33.03,129.74,0.9358,3
33.03,129.75,0.588,3
33.03,129.91,0.589,3
33.03,129.92,0.9694,3
33.03,129.93,2.0292,4
33.03,129.94,1.3269,4
33.03,129.95,2.1473,4
33.03,129.96,1.0441,4
33.03,130.15,0.4531,2
33.03,130.16,0.6335,3
33.03,130.17,0.9266,3
33.03,130.18,1.7221,4
33.03,130.19,0.5408,3
33.03,130.41,1.1426,4
33.03,130.42,2.326,4
33.03,130.43,6.9455,6
33.03,130.44,29.4652,8
33.03,130.45,23.6097,7
33.03,130.46,41.4566,8
33.03,130.47,7.3052,6
33.03,130.48,4.2239,5
33.03,130.49,2.3074,4
33.03,130.5,1.722,4
33.03,130.51,1.4071,4
33.03,130.52,1.1905,4
33.03,130.56,0.9352,3
33.03,130.58,0.8573,3
33.03,130.59,0.8398,3
33.03,130.6,0.7318,3
33.03,130.67,0.8019,3
